dependency,licenseOverride
"gradle.plugin.com.github.jk1:gradle-license-report:0.7.1",Apache-2.0
"webrick:1.3.1",BSD-2-Clause-FreeBSD
"webhdfs:0.8.0",Apache-2.0
"avl_tree:1.2.1",BSD-2-Clause-FreeBSD
"filesize:0.0.4",MIT
"filewatch:0.9.0",MIT
"gelfd:0.2.0",Apache-2.0
"gmetric:0.1.3",MIT
"UNKNOWNgzip:1.0",UNKNOWN
"UNKNOWNjls-grok:0.11.4",UNKNOWN
"jls-lumberjack:0.0.26",Apache-2.0
"march_hare:3.1.1",MIT
"method_source:0.8.2",MIT
"metriks:0.9.9.8",MIT
"numerizer:0.1.1",MIT
"rspec-sequencing:0.1.0",Apache-2.0
"rubyzip:1.2.1",BSD-2-Clause-FreeBSD
"snappy-jars:1.1.0.1.2",Apache-2.0
"snmp:1.2.0",MIT
"stud:0.0.23",Apache-2.0
"com.google.googlejavaformat:google-java-format:1.1",Apache-2.0
"com.google.guava:guava:19.0",Apache-2.0
"org.apache.logging.log4j:log4j-api:2.9.1",Apache-2.0
"org.apache.logging.log4j:log4j-core:2.9.1",Apache-2.0
"org.apache.logging.log4j:log4j-slf4j-impl:2.9.1",Apache-2.0
"org.codehaus.janino:commons-compiler:3.0.8",BSD-3-Clause-Attribution
"org.codehaus.janino:janino:3.0.8",BSD-3-Clause-Attribution
"com.fasterxml.jackson.dataformat:jackson-dataformat-cbor:2.9.5",Apache-2.0
"org.jruby:jruby-complete:9.1.13.0",EPL-2.0|Ruby
"org.slf4j:slf4j-api:1.7.25",MIT
"org.eclipse.core:org.eclipse.core.commands:3.6.0",EPL-1.0
"org.eclipse.core:org.eclipse.core.contenttype:3.4.100",EPL-1.0
"org.eclipse.core:org.eclipse.core.expressions:3.4.300",EPL-1.0
"org.eclipse.core:org.eclipse.core.filesystem:1.3.100",EPL-1.0
"org.eclipse.core:org.eclipse.core.jobs:3.5.100",EPL-1.0
"org.eclipse.core:org.eclipse.core.resources:3.7.100",EPL-1.0
"org.eclipse.core:org.eclipse.core.runtime:3.7.0",EPL-1.0
"org.eclipse.equinox:org.eclipse.equinox.app:1.3.100",EPL-1.0
"org.eclipse.equinox:org.eclipse.equinox.common:3.6.0",EPL-1.0
"org.eclipse.equinox:org.eclipse.equinox.preferences:3.4.1",EPL-1.0
"org.eclipse.equinox:org.eclipse.equinox.registry:3.5.101",EPL-1.0
"org.eclipse.jdt:org.eclipse.jdt.core:3.10.0",EPL-1.0
"org.eclipse.osgi:org.eclipse.osgi:3.7.1",EPL-1.0
"org.eclipse.text:org.eclipse.text:3.5.101",EPL-1.0
